Time,"Fear Index (VIX) USA  - Close
  - #"
201701,11.77
201612,14.04
201611,13.33
201610,17.06
201609,13.29
201608,13.42
201607,11.87
201606,15.63
201605,14.19
201604,15.7
201603,13.95
201602,20.55
201601,20.2
201512,18.21
201511,16.13
201510,15.07
201509,24.5
201508,28.43
201507,12.12
201506,18.23
201505,13.84
201504,14.55
201503,15.29
201502,13.34
201501,20.97
201412,19.2
201411,13.33
201410,14.03
201409,16.31
201408,12.09
201407,16.95
201406,11.57
201405,11.4
201404,13.41
201403,13.88
201402,14
201401,18.41
201312,13.72
201311,13.7
201310,13.75
201309,16.6
201308,17.01
201307,13.45
201306,16.86
201305,16.3
201304,13.52
201303,12.7
201302,15.51
201301,14.38
201212,18.02
201211,15.87
201210,18.6
201209,15.73
201208,17.47
201207,18.93
201206,17.08
201205,24.06
201204,17.15
201203,15.5
201202,18.43
201201,19.44
201112,23.4
201111,27.8
201110,29.96
201109,42.96
201108,31.62
201107,25.25
201106,16.52
201105,15.45
201104,14.75
201103,17.74
201102,18.35
201101,19.53
201012,17.75
201011,23.54
201010,21.2
201009,23.7
201008,26.05
201007,23.5
201006,34.54
201005,32.07
201004,22.05
201003,17.59
201002,19.5
201001,24.62
200912,21.68
200911,24.51
200910,30.69
200909,25.61
200908,26.01
200907,25.92
200906,26.35
200905,28.92
200904,36.5
200903,44.14
200902,46.35
200901,44.84
200812,40
200811,55.28
200810,59.89
200809,39.39
200808,20.65
200807,22.94
200806,23.95
200805,17.83
200804,20.79
200803,25.61
200802,26.54
200801,26.2
200712,22.5
200711,22.87
200710,18.53
200709,18
200708,23.38
200707,23.52
200706,16.23
200705,13.05
200704,14.22
200703,14.64
200702,15.42
200701,10.42
200612,11.56
200611,10.91
200610,11.1
200609,11.98
200608,12.31
200607,14.95
200606,13.08
200605,16.44
200604,11.59
200603,11.39
200602,12.34
200601,12.95
200512,12.07
200511,12.06
200510,15.32
200509,11.92
200508,12.6
200507,11.57
200506,12.04
200505,13.29
200504,15.31
200503,14.02
200502,12.08
200501,12.82
200412,13.29
200411,13.24
200410,16.27
200409,13.34
200408,15.29
200407,15.32
200406,14.34
200405,15.5
200404,17.19
200403,16.74
200402,14.55
200401,16.63
200312,18.31
200311,16.32
200310,16.1
200309,22.72
200308,18.63
200307,19.49
200306,19.52
200305,19.47
200304,21.21
200303,29.15
200302,29.63
200301,31.17
200212,28.62
200211,27.5
200210,31.14
200209,39.69
200208,32.64
200207,32.03
200206,25.4
200205,19.98
200204,21.91
200203,17.4
200202,21.59
200201,21.09
200112,23.8
200111,24.92
200110,33.56
200109,31.93
200108,24.92
200107,21.62
200106,19.06
200105,22.64
200104,25.48
200103,28.64
200102,28.35
200101,22.02
200012,26.85
200011,29.65
200010,23.63
200009,20.57
200008,16.84
200007,20.74
200006,19.54
200005,23.65
200004,26.2
200003,23.67
200002,23.37
200001,24.95
199912,23.4
199911,24.18
199910,22.2
199909,25.41
199908,24.45
199907,24.64
199906,21.09
199905,25.39
199904,25.07
199903,23.26
199902,27.88
199901,26.25
199812,24.42
199811,26.01
199810,28.05
199809,40.95
199808,44.28
199807,24.8
199806,19.71
199805,21.32
199804,21.18
199803,24.22
199802,18.55
199801,21.47
199712,24.01
199711,27.43
199710,35.09
199709,22.91
199708,24.76
199707,21.48
199706,21.53
199705,19.19
199704,20.06
199703,22.14
199702,21.1
199701,19.47
199612,20.92
199611,17.14
199610,18.11
199609,16.95
199608,17.01
199607,19.46
199606,13.68
199605,16.07
199604,15.83
199603,18.88
199602,17.04
199601,12.53
199512,12.52
199511,11.58
199510,13.83
199509,12.74
199508,11.52
199507,13.49
199506,11.38
199505,13.77
199504,11.75
199503,13.37
199502,11.75
199501,11.96
199412,13.2
199411,15.95
199410,14.56
199409,14.28
199408,11.97
199407,11.13
199406,14.97
199405,13.03
199404,13.77
199403,20.45
199402,14.87
199401,10.63
199312,11.66
199311,13.76
199310,11.46
199309,12.99
199308,11.85
199307,11.73
199306,11.26
199305,13.47
199304,12.42
199303,12.53
199302,13.16
199301,12.42
199212,12.57
199211,13.01
199210,16.15
199209,14.28
199208,13.58
199207,13.17
199206,13.35
199205,13.86
199204,15.53
199203,16.18
199202,16.68
199201,17.4
199112,19.31
199111,20.26
199110,15.48
199109,15.85
199108,14.46
199107,15.18
199106,19.55
199105,15.93
199104,18.24
199103,16.88
199102,21.23
199101,20.91
199012,26.38
199011,22.16
199010,30.04
199009,29.11
199008,29.9
199007,21.11
199006,15.5
199005,17.37
199004,19.52
199003,19.73
199002,21.99
199001,25.36
